id,home_team,away_team
16ei6do,stetson,webberinternational-sheet4-row11-col08
16eiux6,texastech,oregon
16eiwkm,lsu,grambling
16eiwlx,washingtonstate,wisconsin
16eiwn1,florida,mcneese
16eiwok,maryland,charlotte
16eiwq4,mississippistate,arizona
16eiwrx,rutgers,temple
16eiwte,southcarolina,furman
16eiwuw,sandiegostate,ucla
16eiww4,minnesota,easternmichigan
16ejngu,tcu,nicholls
16ejni4,airforce,samhoustonstate
16ejnjd,newmexico,tennesseetech
16ejnkc,utahstate,idahostate
16ejnm5,ulm,lamar
16ekdib,floridastate,southernmiss
16el36u,oregonstate,ucdavis
16el38g,fresnostate,easternwashington
16el3a2,utahtech,montana
16emg20,sacramentostate,texasamcommerce
16en3nh,usc,stanford
16en3ol,california,auburn
16en3pq,arizonastate,oklahomastate
16eoyam,hawaii,albany
16iw2ur,miami,bethunecookman
16iw2vw,memphis,navy
16jphwp,maine,rhodeisland
16jq8ru,maryland,virginia
16jq8tf,utsa,army
16jrobi,airforce,utahstate
16k9mzz,mississippistate,lsu
16k9n1a,illinois,pennstate
16k9n25,bostoncollege,floridastate
16k9n3l,missouri,kansasstate
16k9n4r,wisconsin,georgiasouthern
16k9n5y,buffalo,liberty
16k9n6x,louisville,indiana
16k9n89,olddominion,wakeforest
16k9n9c,baylor,liu
16k9nah,ohio,iowastate
16k9nbj,kentstate,ccsu
16k9nci,boisestate,northdakota
16k9ndd,yale,holycross
16k9ndx,lehigh,cornell
16kb0z4,monmouth,campbell
16kb10b,harvard,stthomasmn
16kb11c,marist,davidson
16kb12q,dayton,taylor-sheet4-row08-col14
16kb140,colgate,pennsylvania
16kceqi,utah,weberstate
16kceru,ncstate,vmi
16kcesw,easternmichigan,umass
16kcety,temple,norfolkstate
16kceux,ballstate,indianastate
16kceyj,youngstownstate,robertmorris
16kd3yk,notredame,centralmichigan
16kdsdq,easternillinois,illinoisstate
16kdseo,grambling,floridamemorial-sheet4-row11-col02
16kdsfw,montanastate,stetson
16keh7j,georgia,southcarolina
16keh8t,usf,alabama
16keh9k,oregonstate,sandiegostate
16kehak,tulsa,oklahoma
16kehbn,northcarolina,minnesota
16kehcu,iowa,westernmichigan
16kehe2,duke,northwestern
16kehex,rutgers,virginiatech
16kehg4,connecticut,fiu
16kehhn,appalachianstate,ecu
16kehm3,northdakotastate,centralarkansas
16kehn5,drake,southdakotastate
16kf5x5,ohiostate,wku
16kf5y8,texasam,ulm
16kf5zb,southernmiss,tulane
16kf5zz,california,idaho
16kf65r,portlandstate,northamerican-sheet4-row12-col01
16kf672,charlestonsouthern,williammary
16kf67s,sandiego,princeton
16kfcsr,georgetown,stonehill
16kfctj,lafayette,columbia
16kfcua,sacredheart,wagner
16kfcv0,southdakota,lamar
16kfcvm,hampton,howard
16kfcwn,richmond,delawarestate
16kfcxb,northernarizona,utahtech
16kfcyg,easternwashington,southeasternlouisiana
16kfcza,bryant,brown
16kgis7,michiganstate,washington
16kgit2,ucla,nccu
16kgiua,washingtonstate,northerncolorado
16kgiv7,kennesawstate,furman
16kgiw0,uapb,milescollege-sheet2-row15-col10
16khwvc,charlotte,georgiastate
16khwwl,morganstate,towson
16khwxg,delaware,stfrancis
16khwyo,floridaam,uwf-sheet2-row07-col08
16khwzl,easternkentucky,westerncarolina
16khx0w,idahostate,northerniowa
16khx25,newhampshire,dartmouth
16khx2z,elon,northcarolinaat
16khx4f,tennesseestate,gardnerwebb
16khx5a,wofford,presbyterian
16khx6j,chattanooga,citadel
16khx7d,butler,wabash-sheet3-row21-col07
16khx8a,merrimack,virginialynchburg-sheet4-row31-col19
16kin4q,ucf,villanova
16kjdlb,florida,tennessee
16kjdmo,auburn,samford
16kjdo0,louisianatech,northtexas
16kjdpa,middletennessee,murraystate
16kjdqm,nebraska,northernillinois
16kjdrs,unlv,vanderbilt
16kjdsp,cincinnati,miamioh
16kjdth,oklahomastate,southalabama
16kjduj,texastech,tarletonstate
16kjdvj,uab,louisiana
16kjdwn,smu,prairieviewam
16kjdy0,rice,texassouthern
16kjdz4,coastalcarolina,duquesne
16kje0f,arkansasstate,stonybrook
16kje1a,troy,jamesmadison
16kje2l,toledo,sanjosestate
16kje3f,southern,alabamaam
16kje4g,deltastate-sheet2-row07-col02,mvsu
16kje5r,austinpeay,easttennesseestate
16kje6w,tennesseetech,northalabama
16kje7q,utmartin,houstonbaptist
16kje8t,alcornstate,mcneese
16kjea2,northwesternstate,stephenfaustin
16kjeb3,southeastmissouri,southernillinois
16kjec1,westernillinois,lindenwood
16kk406,michigan,bowlinggreen
16kk41j,olemiss,georgiatech
16kk42t,arkansas,byu
16kk441,kentucky,akron
16kk458,purdue,syracuse
16kk467,westvirginia,pittsburgh
16kktjv,clemson,fau
16kktkx,texas,wyoming
16kktm7,oregon,hawaii
16kktnu,houston,tcu
16kktp5,newmexico,newmexicostate
16kktpz,stanford,sacramentostate
16kktr8,calpoly,lincolnca-sheet4-row31-col12
16kktsw,montana,ferrisstate-sheet2-row03-col02
16kktty,abilenechristian,incarnateword
16klj1f,texasstate,jacksonstate
16knfug,colorado,coloradostate
16knfvn,ucdavis,southernutah
16ko1lm,arizonastate,fresnostate
16ko1na,nevada,kansas
16komrk,arizona,utep
16otiwy,coastalcarolina,georgiastate
16otiyc,alabamaam,uapb
16pms5i,purdue,wisconsin
16pms6h,harvard,brown
16pnixi,virginia,ncstate
